"song","artist","duration_ms","explicit","year","popularity","danceability","genre"
"She Hates Me","Puddle Of Mudd",216760,"True",2001,70,0.58,"rock; metal"
"Rollout (My Business)","Ludacris",296586,"True",2001,60,0.921,"hip hop; pop"
"Crossroads - Radio Edit","Blazin' Squad",188693,"False",2012,40,0.661,"set()"
"Wasting My Time","Default",268693,"False",2001,40,0.443,"rock; pop; metal"
"All You Wanted","Michelle Branch",217680,"False",2001,60,0.499,"pop; Folk/Acoustic"
"If You're Not The One","Daniel Bedingfield",257026,"False",2002,58,0.688,"pop"
"Escape","Enrique Iglesias",208626,"False",2001,56,0.776,"pop; latin"
"Blurry","Puddle Of Mudd",303920,"False",2001,64,0.432,"rock; metal"
"In My Place","Coldplay",226680,"False",2002,72,0.424,"rock; pop"
"The Whole World (feat. Killer Mike)","Outkast",295346,"True",2001,51,0.814,"hip hop; pop"
"Don't Let Me Get Me - Radio Edit","P!nk",210693,"False",2001,60,0.624,"pop"
"In Da Club","50 Cent",193466,"True",2003,81,0.899,"hip hop; pop"
"Get Busy","Sean Paul",211666,"False",2002,74,0.735,"hip hop; pop"
"Lose Yourself - From ""8 Mile"" Soundtrack","Eminem",322226,"True",2004,77,0.686,"hip hop"
"Crazy In Love (feat. Jay-Z)","Beyoncé",236133,"False",2003,76,0.646,"pop; R&B"
"Big Yellow Taxi","Counting Crows",225426,"False",2003,50,0.669,"rock; pop"
"Where Is The Love?","Black Eyed Peas",272533,"False",2003,68,0.835,"hip hop; pop"
"Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix","Jennifer Lopez",187840,"False",2002,70,0.845,"hip hop; pop; R&B"
"Shut Up","Black Eyed Peas",296186,"False",2003,56,0.81,"hip hop; pop"
"All The Things She Said","t.A.T.u.",214440,"True",2020,39,0.527,"pop"
"Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz","Benny Benassi",285570,"False",2003,66,0.793,"pop; Dance/Electronic"
"I Know What You Want (feat. Flipmode Squad)","Busta Rhymes",324306,"True",2002,68,0.648,"hip hop; pop"
"Mundian to Bach Ke","Panjabi MC",244666,"False",2003,61,0.778,"World/Traditional; hip hop"
"Scandalous - U.S. Radio Edit","Mis-Teeq",238840,"False",2004,59,0.734,"pop; Dance/Electronic"
"03' Bonnie & Clyde","JAY-Z",205560,"True",2002,71,0.759,"hip hop"
